,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
"Antony's Yard 2014 Graham Beck, Western Cape",84,72,9.99,red wine,south-african,new world,,,0.857142857
Araldica Fazzoletto Passito 2016,17,13,11.99,red wine,,,,,0.764705882
Aresti 'Trisquel' Altitud Merlot 2015,3,2,16.99,red wine,,,,,0.666666667
Aresti Bellavista Sauvignon Gris 2017,1,0,10.99,white wine,,,,,0
Arraigo Benegas Old Vine,4,3,24.99,red wine,,,,,0.75
Arraigo Benegas Single Vineyard Blend 2012,7,4,16.99,red wine,,,,,0.571428571
Ata Rangi Craighall Chardonnay 2014 Martinborough,2,2,40,fine wine,new-zealand,new world,chardonnay,,1
Au Bon Climat Pinot Noir 'Isabelle' 2013 California,11,8,55,fine wine,,,pinot noir,,0.727272727
Aurore de Dauzac 2014,1,1,30,fine wine,french,old world,,bordeaux,1
BDX Claret,4,4,9.99,red wine,,,merlot,,1
Balfour 1503 Brut NV England,12,12,25.99,white wine,,,chardonnay,,1
Balfour 1503 RosÈ NV England,13,13,25.99,white wine,,,chardonnay,,1
Barbaresco 2014 De Forville,20,14,17.99,red wine,italian,old world,,,0.7
Barbera d?Alba Villa de Forville 2016 De Forville,33,28,13.99,red wine,italian,old world,,,0.848484848
Barbera d?Asti 2015 De Forville,23,19,13.99,red wine,italian,old world,,,0.826086957
Bardolino 'Naiano' 2016 Allegrini,40,31,9.99,red wine,italian,old world,,,0.775
Barista Pinotage 2017 Western Cape,161,132,9.99,red wine,south-african,new world,,,0.819875776
Barolo 2012 Ciabot Berton,26,25,30,fine wine,italian,old world,,,0.961538462
Barolo 2012 Natale Verga,26,17,22.99,red wine,italian,old world,,,0.653846154
Barolo Araldica 2012,25,19,17.99,red wine,italian,old world,,,0.76
Baron Edmond de Rothschild Montagne St Emilion,3,3,19.99,red wine,french,old world,,bordeaux,1
Beaujolais LantigniÈ 2016 Louis Jadot,37,27,11.99,red wine,french,old world,,,0.72972973
Beefsteak Club Malbec 2016 Mendoza,206,171,9.99,red wine,argentinian,new world,,,0.830097087
Bellingham 'The Bernard Series' Old Vine Chenin Blanc 2017 Western Cape,72,63,13.49,white wine,south-african,new world,,,0.875
Bellingham 'The Bernard Series' Viognier 2017 Western Cape,60,54,13.49,white wine,south-african,new world,,,0.9
Bellingham Pinopasso Pinotage 2015 Coastal Region,58,52,10.99,red wine,south-african,new world,,,0.896551724
"Ben Marco Malbec 2016/17 Dominio del Plata, Mendoza",86,77,14.99,red wine,argentinian,new world,,,0.895348837
Beringer Founders' Estate Cabernet Sauvignon 2012 Central California,6,4,14.99,red wine,,,,california,0.666666667
"Beringer Founders' Estate Chardonnay 2015/16, Central and N. California",7,7,14.99,white wine,,,,california,1
Beringer Knights Valley Napa Cabernet 2015,0,0,30,red wine,,,,,
Beyerskloof Reserve Pinotage 2016 Western Cape,112,104,10.99,red wine,south-african,new world,,,0.928571429
Bienbebido Pulpo AlbariÒo 2016 Vintae,56,53,8.99,white wine,spanish,old world,,,0.946428571
Black Cottage Pinot Gris 2016 Marlborough,28,26,12.99,white wine,new-zealand,new world,,marlborough wine,0.928571429
Black Cottage RosÈ 2016 Marlborough,17,17,12.99,rose wine,new-zealand,new world,,marlborough wine,1
Black Cottage Sauvignon Blanc 2016 Marlborough,120,109,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.908333333
Blind River Tekau Sauvignon Blanc 2015 Awatere Valley,9,7,22,fine wine,,,sauvignon blanc,,0.777777778
Bodega Volcanes Carmenere 2016,29,24,11.99,red wine,chilean,new world,,,0.827586207
Boschendal Lanoy Sauvignon Blanc 2016 Coastal Region,70,59,9.99,white wine,south-african,new world,sauvignon blanc,,0.842857143
Bourgogne Chardonnay 'Les ChenaudiËres' 2016 Cave de Lugny,67,61,11.99,white wine,french,old world,,,0.910447761
Bourgogne Chardonnay Domaine Jomain 2016,5,4,16.99,white wine,,,,,0.8
Bourgogne Chardonnay Thibert,2,1,14.99,white wine,french,old world,,burgundy,0.5
Bourgogne CÙte Chalonnaise 2016 La Buxynoise,9,8,13.99,white wine,french,old world,,,0.888888889
Bourgogne Pinot Noir 2015 Louis Latour,25,15,16.99,red wine,french,old world,pinot noir,,0.6
Bourgogne Pinot Noir 2015 Nicolas Potel,82,68,13.99,red wine,french,old world,pinot noir,,0.829268293
Bouvet Ladubay Saumur NV France,97,93,12.99,white wine,french,old world,,,0.958762887
Bouvet Saumur RosÈ Brut ,38,37,12.99,white wine,french,old world,,,0.973684211
Brancott Estate Sauvignon Blanc 2016 Marlborough,326,298,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.914110429
Brown Brothers Orange Muscat and Flora Half Bottle,16,16,8.99,white wine,australian,new world,,,1
Caixas AlbariÒo 2016 RÌas Baixas,129,120,9.99,white wine,spanish,old world,,,0.930232558
Campofiorin 2014 Masi,68,58,14.99,red wine,italian,old world,,,0.852941176
Capaia Merlot Cabernet 2015,82,72,10.99,red wine,south-african,new world,merlot,,0.87804878
Capo Martino 2012 Jermann,0,0,50,fine wine,italian,old world,,,
Carlino Bianco 2016,5,4,5.99,white wine,,,,,0.8
Carlino Rosso 2016,17,13,5.99,red wine,italian,old world,,,0.764705882
Castelnau de Suduiraut 2011 Sauternes,3,3,13.99,white wine,french,old world,sauvignon blanc,bordeaux,1
Castillo de Albai Rioja,4,4,8.99,red wine,,,,,1
